Territorio,Sesso,Cittadinanza,TIME,Value
Nord,maschi,italiano-a,2018,308.5490000000001
Nord,maschi,italiano-a,2019,268.653
Nord,femmine,italiano-a,2018,323.361
Nord,femmine,italiano-a,2019,315.67
Nord-ovest,maschi,italiano-a,2018,193.977
Nord-ovest,maschi,italiano-a,2019,172.204
Nord-ovest,femmine,italiano-a,2018,201.18099999999998
Nord-ovest,femmine,italiano-a,2019,197.86900000000003
Nord-est,maschi,italiano-a,2018,114.572
Nord-est,maschi,italiano-a,2019,96.449
Nord-est,femmine,italiano-a,2018,122.18
Nord-est,femmine,italiano-a,2019,117.801
Centro,maschi,italiano-a,2018,204.426
Centro,maschi,italiano-a,2019,180.668
Centro,femmine,italiano-a,2018,202.805
Centro,femmine,italiano-a,2019,177.583
Mezzogiorno,maschi,italiano-a,2018,752.0089999999999
Mezzogiorno,maschi,italiano-a,2019,710.202
Mezzogiorno,femmine,italiano-a,2018,564.576
Mezzogiorno,femmine,italiano-a,2019,526.793
Nord,maschi,straniero-a,2018,94.662
Nord,maschi,straniero-a,2019,88.55
Nord,femmine,straniero-a,2018,120.82700000000001
Nord,femmine,straniero-a,2019,117.185
Nord-ovest,maschi,straniero-a,2018,59.01300000000001
Nord-ovest,maschi,straniero-a,2019,51.306999999999995
Nord-ovest,femmine,straniero-a,2018,65.041
Nord-ovest,femmine,straniero-a,2019,65.84899999999999
Nord-est,maschi,straniero-a,2018,35.649
Nord-est,maschi,straniero-a,2019,37.243
Nord-est,femmine,straniero-a,2018,55.786
Nord-est,femmine,straniero-a,2019,51.335
Centro,maschi,straniero-a,2018,55.76300000000001
Centro,maschi,straniero-a,2019,56.922
Centro,femmine,straniero-a,2018,53.888999999999996
Centro,femmine,straniero-a,2019,57.49800000000001
Mezzogiorno,maschi,straniero-a,2018,36.5
Mezzogiorno,maschi,straniero-a,2019,44.161
Mezzogiorno,femmine,straniero-a,2018,38.105
Mezzogiorno,femmine,straniero-a,2019,37.645
