"Anno, Regione ,Forza lavoro % età 15-64 anni"
"1995,Piemonte,61.93,"
"1995,Valle d'Aosta,69.57,"
"1995,Lombardia,61.95,"
"1995,Trentino-Alto Adige,64.86,"
"1995,Veneto,62.09,"
"1995,Friuli-Venezia Giulia,62.57,"
"1995,Liguria,60.66,"
"1995,Emilia-Romagna,65.80,"
"1995,Toscana,62.61,"
"1995,Umbria,62.50,"
"1995,Marche,62.18,"
"1995,Lazio,56.19,"
"1995,Abruzzo,62.40,"
"1995,Molise,56.52,"
"1995,Campania,53.02,"
"1995,Puglia,50.24,"
"1995,Basilicata,53.83,"
"1995,Calabria,49.92,"
"1995,Sicilia,51.03,"
"1995,Sardegna,55.23,"
"1996,Piemonte,63.04,"
"1996,Valle d'Aosta,69.55,"
"1996,Lombardia,62.30,"
"1996,Trentino-Alto Adige,66.20,"
"1996,Veneto,62.53,"
"1996,Friuli-Venezia Giulia,63.33,"
"1996,Liguria,61.67,"
"1996,Emilia-Romagna,66.24,"
"1996,Toscana,62.50,"
"1996,Umbria,63.13,"
"1996,Marche,62.80,"
"1996,Lazio,56.82,"
"1996,Abruzzo,63.32,"
"1996,Molise,55.79,"
"1996,Campania,52.55,"
"1996,Puglia,50.82,"
"1996,Basilicata,53.38,"
"1996,Calabria,49.67,"
"1996,Sicilia,51.49,"
"1996,Sardegna,54.64,"
"1997,Piemonte,62.74,"
"1997,Valle d'Aosta,70.14,"
"1997,Lombardia,62.18,"
"1997,Trentino-Alto Adige,66.01,"
"1997,Veneto,63.27,"
"1997,Friuli-Venezia Giulia,63.46,"
"1997,Liguria,61.85,"
"1997,Emilia-Romagna,67.14,"
"1997,Toscana,62.64,"
"1997,Umbria,62.38,"
"1997,Marche,62.43,"
"1997,Lazio,57.00,"
"1997,Abruzzo,62.62,"
"1997,Molise,56.53,"
"1997,Campania,52.99,"
"1997,Puglia,50.86,"
"1997,Basilicata,54.90,"
"1997,Calabria,48.97,"
"1997,Sicilia,52.24,"
"1997,Sardegna,55.75,"
"1998,Piemonte,62.70,"
"1998,Valle d'Aosta,69.97,"
"1998,Lombardia,63.11,"
"1998,Trentino-Alto Adige,66.46,"
"1998,Veneto,63.58,"
"1998,Friuli-Venezia Giulia,63.59,"
"1998,Liguria,63.16,"
"1998,Emilia-Romagna,67.60,"
"1998,Toscana,63.34,"
"1998,Umbria,63.31,"
"1998,Marche,62.68,"
"1998,Lazio,57.33,"
"1998,Abruzzo,62.54,"
"1998,Molise,57.11,"
"1998,Campania,53.90,"
"1998,Puglia,52.52,"
"1998,Basilicata,55.01,"
"1998,Calabria,51.63,"
"1998,Sicilia,53.99,"
"1998,Sardegna,56.86,"
"1999,Piemonte,63.86,"
"1999,Valle d'Aosta,70.43,"
"1999,Lombardia,63.77,"
"1999,Trentino-Alto Adige,67.26,"
"1999,Veneto,64.18,"
"1999,Friuli-Venezia Giulia,64.52,"
"1999,Liguria,63.90,"
"1999,Emilia-Romagna,68.34,"
"1999,Toscana,64.36,"
"1999,Umbria,65.27,"
"1999,Marche,64.43,"
"1999,Lazio,57.99,"
"1999,Abruzzo,62.43,"
"1999,Molise,57.13,"
"1999,Campania,53.57,"
"1999,Puglia,52.62,"
"1999,Basilicata,55.29,"
"1999,Calabria,52.37,"
"1999,Sicilia,54.25,"
"1999,Sardegna,58.18,"
"2000,Piemonte,65.18,"
"2000,Valle d'Aosta,72.24,"
"2000,Lombardia,64.21,"
"2000,Trentino-Alto Adige,68.29,"
"2000,Veneto,65.29,"
"2000,Friuli-Venezia Giulia,64.98,"
"2000,Liguria,64.26,"
"2000,Emilia-Romagna,69.26,"
"2000,Toscana,65.20,"
"2000,Umbria,66.12,"
"2000,Marche,64.70,"
"2000,Lazio,58.73,"
"2000,Abruzzo,62.50,"
"2000,Molise,57.14,"
"2000,Campania,53.81,"
"2000,Puglia,53.00,"
"2000,Basilicata,57.06,"
"2000,Calabria,52.23,"
"2000,Sicilia,54.86,"
"2000,Sardegna,58.36,"
"2001,Piemonte,65.13,"
"2001,Valle d'Aosta,73.52,"
"2001,Lombardia,65.15,"
"2001,Trentino-Alto Adige,68.30,"
"2001,Veneto,65.87,"
"2001,Friuli-Venezia Giulia,66.43,"
"2001,Liguria,65.20,"
"2001,Emilia-Romagna,69.75,"
"2001,Toscana,65.87,"
"2001,Umbria,66.66,"
"2001,Marche,65.16,"
"2001,Lazio,59.45,"
"2001,Abruzzo,63.82,"
"2001,Molise,58.40,"
"2001,Campania,53.95,"
"2001,Puglia,52.62,"
"2001,Basilicata,56.53,"
"2001,Calabria,53.93,"
"2001,Sicilia,55.10,"
"2001,Sardegna,59.34,"
"2002,Piemonte,65.77,"
"2002,Valle d'Aosta,73.84,"
"2002,Lombardia,66.16,"
"2002,Trentino-Alto Adige,68.77,"
"2002,Veneto,66.18,"
"2002,Friuli-Venezia Giulia,66.69,"
"2002,Liguria,65.46,"
"2002,Emilia-Romagna,70.41,"
"2002,Toscana,66.07,"
"2002,Umbria,66.35,"
"2002,Marche,66.37,"
"2002,Lazio,60.08,"
"2002,Abruzzo,64.74,"
"2002,Molise,58.14,"
"2002,Campania,54.74,"
"2002,Puglia,53.21,"
"2002,Basilicata,56.68,"
"2002,Calabria,54.43,"
"2002,Sicilia,54.77,"
"2002,Sardegna,59.99,"
"2003,Piemonte,66.69,"
"2003,Valle d'Aosta,70.17,"
"2003,Lombardia,67.64,"
"2003,Trentino-Alto Adige,69.07,"
"2003,Veneto,67.39,"
"2003,Friuli-Venezia Giulia,66.54,"
"2003,Liguria,64.60,"
"2003,Emilia-Romagna,71.77,"
