Territorio,Sesso,Età,Stato civile,Value
Piemonte,maschi,0 anni,nubile/celibe,14595
Piemonte,femmine,0 anni,nubile/celibe,14264
Valle d'Aosta / Vallée d'Aoste,maschi,0 anni,nubile/celibe,472
Valle d'Aosta / Vallée d'Aoste,femmine,0 anni,nubile/celibe,417
Liguria,maschi,0 anni,nubile/celibe,4611
Liguria,femmine,0 anni,nubile/celibe,4376
Lombardia,maschi,0 anni,nubile/celibe,38869
Lombardia,femmine,0 anni,nubile/celibe,36654
Trentino Alto Adige / Südtirol,maschi,0 anni,nubile/celibe,4964
Trentino Alto Adige / Südtirol,femmine,0 anni,nubile/celibe,4683
Veneto,maschi,0 anni,nubile/celibe,18201
Veneto,femmine,0 anni,nubile/celibe,17241
Friuli-Venezia Giulia,maschi,0 anni,nubile/celibe,4035
Friuli-Venezia Giulia,femmine,0 anni,nubile/celibe,3794
Emilia-Romagna,maschi,0 anni,nubile/celibe,16842
Emilia-Romagna,femmine,0 anni,nubile/celibe,15644
Toscana,maschi,0 anni,nubile/celibe,12632
Toscana,femmine,0 anni,nubile/celibe,12213
Umbria,maschi,0 anni,nubile/celibe,3029
Umbria,femmine,0 anni,nubile/celibe,2787
Marche,maschi,0 anni,nubile/celibe,5239
Marche,femmine,0 anni,nubile/celibe,4920
Lazio,maschi,0 anni,nubile/celibe,21705
Lazio,femmine,0 anni,nubile/celibe,20415
Abruzzo,maschi,0 anni,nubile/celibe,4540
Abruzzo,femmine,0 anni,nubile/celibe,4331
Molise,maschi,0 anni,nubile/celibe,952
Molise,femmine,0 anni,nubile/celibe,920
Campania,maschi,0 anni,nubile/celibe,24740
Campania,femmine,0 anni,nubile/celibe,23096
Puglia,maschi,0 anni,nubile/celibe,14920
Puglia,femmine,0 anni,nubile/celibe,13833
Basilicata,maschi,0 anni,nubile/celibe,1850
Basilicata,femmine,0 anni,nubile/celibe,1839
Calabria,maschi,0 anni,nubile/celibe,7726
Calabria,femmine,0 anni,nubile/celibe,7310
Sicilia,maschi,0 anni,nubile/celibe,20718
Sicilia,femmine,0 anni,nubile/celibe,19619
Sardegna,maschi,0 anni,nubile/celibe,4788
Sardegna,femmine,0 anni,nubile/celibe,4503
Friuli-Venezia Giulia,femmine,1 anni,nubile/celibe,4037
Liguria,maschi,1 anni,nubile/celibe,5030
Sicilia,maschi,1 anni,nubile/celibe,21275
Umbria,femmine,1 anni,nubile/celibe,2960
Veneto,femmine,1 anni,nubile/celibe,17933
Campania,maschi,1 anni,nubile/celibe,25506
Molise,femmine,1 anni,nubile/celibe,989
Abruzzo,maschi,1 anni,nubile/celibe,4901
Toscana,maschi,1 anni,nubile/celibe,13548
Marche,maschi,1 anni,nubile/celibe,5494
Umbria,maschi,1 anni,nubile/celibe,3118
Calabria,maschi,1 anni,nubile/celibe,8032
Emilia-Romagna,femmine,1 anni,nubile/celibe,16210
Friuli-Venezia Giulia,maschi,1 anni,nubile/celibe,4187
Lombardia,femmine,1 anni,nubile/celibe,38666
Veneto,maschi,1 anni,nubile/celibe,19091
Molise,maschi,1 anni,nubile/celibe,1113
Trentino Alto Adige / Südtirol,femmine,1 anni,nubile/celibe,4829
Piemonte,femmine,1 anni,nubile/celibe,15279
Sardegna,femmine,1 anni,nubile/celibe,4878
Emilia-Romagna,maschi,1 anni,nubile/celibe,17356
Valle d'Aosta / Vallée d'Aoste,femmine,1 anni,nubile/celibe,419
Lazio,maschi,1 anni,nubile/celibe,22501
Trentino Alto Adige / Südtirol,maschi,1 anni,nubile/celibe,5118
Sicilia,femmine,1 anni,nubile/celibe,19978
