player,age,dob,height_cm,club,rating
L. Messi,32,24/06/1987,170,FC Barcelona,94
Cristiano Ronaldo,34,05/02/1985,187,Juventus,93
Neymar Jr,27,05/02/1992,175,Paris Saint-Germain,92
J. Oblak,26,07/01/1993,188,Atlético Madrid,91
E. Hazard,28,07/01/1991,175,Real Madrid,91
K. De Bruyne,28,28/06/1991,181,Manchester City,91
M. ter Stegen,27,30/04/1992,187,FC Barcelona,90
V. van Dijk,27,08/07/1991,193,Liverpool,90
L. Modrić,33,09/09/1985,172,Real Madrid,90
M. Salah,27,15/06/1992,175,Liverpool,90
K. Mbappé,20,20/12/1998,178,Paris Saint-Germain,89
K. Koulibaly,28,20/06/1991,187,Napoli,89
H. Kane,25,28/07/1993,188,Tottenham Hotspur,89
Alisson,26,02/10/1992,191,Liverpool,89
De Gea,28,07/11/1990,192,Manchester United,89
N. Kanté,28,29/03/1991,168,Chelsea,89
G. Chiellini,34,14/08/1984,187,Juventus,89
S. Agüero,31,02/06/1988,173,Manchester City,89
Sergio Ramos,33,30/03/1986,184,Real Madrid,89
L. Suárez,32,24/01/1987,182,FC Barcelona,89
R. Lewandowski,30,21/08/1988,184,FC Bayern München,89
Sergio Busquets,30,16/07/1988,189,FC Barcelona,89
A. Griezmann,28,21/03/1991,176,FC Barcelona,89
P. Dybala,25,15/11/1993,177,Juventus,88
P. Pogba,26,15/03/1993,191,Manchester United,88
Ederson,25,17/08/1993,188,Manchester City,88
R. Sterling,24,08/12/1994,170,Manchester City,88
C. Eriksen,27,14/02/1992,181,Tottenham Hotspur,88
T. Courtois,27,11/05/1992,199,Real Madrid,88
Piqué,32,02/02/1987,194,FC Barcelona,88
S. Handanovič,34,14/07/1984,193,Inter,88
M. Neuer,33,27/03/1986,193,FC Bayern München,88
H. Lloris,32,26/12/1986,188,Tottenham Hotspur,88
David Silva,33,08/01/1986,173,Manchester City,88
E. Cavani,32,14/02/1987,185,Paris Saint-Germain,88
D. Godín,33,16/02/1986,187,Inter,88
T. Kroos,29,04/01/1990,183,Real Madrid,88
M. Reus,30,31/05/1989,180,Borussia Dortmund,88
P. Aubameyang,30,18/06/1989,187,Arsenal,88
S. Mané,27,10/04/1992,175,Liverpool,88
A. Laporte,25,27/05/1994,189,Manchester City,87
Bernardo Silva,24,10/08/1994,173,Manchester City,87
Casemiro,27,23/02/1992,185,Real Madrid,87
H. Son,26,08/07/1992,183,Tottenham Hotspur,87
Fernandinho,34,04/05/1985,179,Manchester City,87
Thiago Silva,34,22/09/1984,183,Paris Saint-Germain,87
K. Benzema,31,19/12/1987,185,Real Madrid,87
