player,height_cm
L. Messi,170
Cristiano Ronaldo,187
Neymar Jr,175
J. Oblak,188
E. Hazard,175
K. De Bruyne,181
M. ter Stegen,187
V. van Dijk,193
L. Modrić,172
M. Salah,175
K. Mbappé,178
K. Koulibaly,187
H. Kane,188
Alisson,191
De Gea,192
N. Kanté,168
G. Chiellini,187
S. Agüero,173
Sergio Ramos,184
L. Suárez,182
R. Lewandowski,184
Sergio Busquets,189
A. Griezmann,176
P. Dybala,177
P. Pogba,191
Ederson,188
R. Sterling,170
C. Eriksen,181
T. Courtois,199
Piqué,194
S. Handanovič,193
M. Neuer,193
H. Lloris,188
David Silva,173
E. Cavani,185
D. Godín,187
T. Kroos,183
M. Reus,180
P. Aubameyang,187
S. Mané,175
A. Laporte,189
Bernardo Silva,173
Casemiro,185
H. Son,183
Fernandinho,179
Thiago Silva,183
K. Benzema,185
J. Vertonghen,189
D. Mertens,169
M. Hummels,191
T. Alderweireld,186
Jordi Alba,170
Thiago,174
K. Navas,185
L. Insigne,163
L. Sané,183
Marquinhos,183
M. Škriniar,187
M. Verratti,165
S. Umtiti,182
W. Szczęsny,195
J. Kimmich,176
Isco,176
Roberto Firmino,181
I. Rakitić,184
M. Pjanić,178
A. Di María,180
L. Bonucci,190
Coutinho,172
Parejo,182
T. Müller,186
C. Immobile,185
A. Lacazette,175
M. de Ligt,189
G. Donnarumma,196
F. de Jong,180
R. Varane,191
N. Süle,195
S. Milinković-Savić,191
Rodri,191
Saúl,184
Fabinho,188
A. Robertson,178
J. Giménez,185
C. Lenglet,186
Bruno Fernandes,179
A. Lopes,184
P. Gulácsi,192
R. Bürki,187
R. Lukaku,190
K. Manolas,189
Neto,190
D. Alaba,180
M. Icardi,181
Carvajal,173
H. Ziyech,181
Z. Ibrahimović,195
A. Gómez,165
G. Higuaín,186
B. Matuidi,180
G. Bale,185
Marcelo,174
A. Witsel,186
Alex Sandro,180
Iago Aspas,176
Koke,176
J. Rodríguez,180
Allan,175
J. Sancho,180
K. Havertz,188
O. Dembélé,178
Kepa,186
João Cancelo,182
D. Alli,188
L. Hernández,182
Arthur,171
M. Depay,176
L. Goretzka,189
J. Brandt,185
K. Coman,179
S. Gnabry,175
N. Fekir,173
B. Leno,190
Luis Alberto,183
Alex Telles,181
J. Pavlenka,196
S. de Vrij,189
Felipe Anderson,175
Pepe,188
João Moutinho,170
S. Ruffier,188
S. Sirigu,192
M. Hamšík,183
Sokratis,186
Lucas Leiva,179
M. Özil,180
Javi Martínez,192
Y. Sommer,183
E. Džeko,193
G. Wijnaldum,175
I. Perišić,186
M. Mandžukić,190
A. Vidal,180
J. Boateng,192
Azpilicueta,178
José Callejón,178
I. Gündoğan,180
Paulinho,183
K. Walker,183
Canales,176
Douglas Costa,172
Pizzi,177
D. Tadić,181
J. Iličić,190
R. Mahrez,179
E. Višća,172
Felipe,190
Fabián,189
A. Romagnoli,188
G. Lo Celso,177
T. Alexander-Arnold,180
L. Jović,182
A. Milik,186
A. Martial,184
Anderson Talisca,190
J. Tah,195
C. Tolisso,181
Pau López,189
Gonçalo Guedes,179
N. Pépé,183
M. Akanji,187
M. Rashford,186
J. Stones,188
A. Rabiot,192
Grimaldo,171
T. Werner,180
T. Lemar,171
D. Sánchez,187
Marco Asensio,182
L. Digne,178
J. Draxler,187
J. Pickford,185
Y. Carrasco,180
Borja Iglesias,187
K. Casteels,197
W. Zaha,180
Paco Alcácer,175
Morata,189
S. Haller,190
William Carvalho,187
F. Bernardeschi,185
D. Djené,178
Oscar,181
K. Trapp,189
Bartra,184
Pablo Sarabia,174
J. Cillessen,185
Lucas Moura,174
F. Thauvin,179
Jorginho,180
G. Buffon,192
Casillas,185
R. Jarstein,190
V. Kompany,190
Raúl Albiol,190
F. Quagliarella,180
K. Schmeichel,189
Falcao,177
